backplane_pin,signal,origin_ref,destination_ref,notes
74,D6,A5P1-74,A8P1-74,"Shared data bus"
75,D7,A5P1-75,A6P1-75,"Shared data bus"
75,D7,A5P1-75,A7P1-75,"Shared data bus"
75,D7,A5P1-75,A8P1-75,"Shared data bus"
76,LREAD,A5P1-76,A7P1-76,"Read strobe distribution"
76,LREAD,A5P1-76,A8P1-76,"Read strobe distribution"
77,HWRT,A5P1-77,A6P1-77,"Write strobe distribution"
77,HWRT,A5P1-77,A7P1-77,"Write strobe distribution"
77,HWRT,A5P1-77,A8P1-77,"Write strobe distribution"
78,A0,A5P1-78,A6P1-78,"Shared address bus"
78,A0,A5P1-78,A7P1-78,"Shared address bus"
78,A0,A5P1-78,A8P1-78,"Shared address bus"
78,A0,A5P1-78,A10P1-78,"Shared address bus"
79,A1,A5P1-79,A6P1-79,"Shared address bus"
79,A1,A5P1-79,A7P1-79,"Shared address bus"
79,A1,A5P1-79,A8P1-79,"Shared address bus"
79,A1,A5P1-79,A10P1-79,"Shared address bus"
80,A2,A5P1-80,A6P1-80,"Shared address bus"
80,A2,A5P1-80,A7P1-80,"Shared address bus"
80,A2,A5P1-80,A8P1-80,"Shared address bus"
80,A2,A5P1-80,A10P1-80,"Shared address bus"
81,A3,A5P1-81,A6P1-81,"Shared address bus"
81,A3,A5P1-81,A7P1-81,"Shared address bus"
81,A3,A5P1-81,A8P1-81,"Shared address bus"
81,A3,A5P1-81,A10P1-81,"Shared address bus"
82,A4,A5P1-82,A6P1-82,"Shared address bus"
82,A4,A5P1-82,A7P1-82,"Shared address bus"
82,A4,A5P1-82,A10P1-82,"Shared address bus"
83,A5,A5P1-83,A6P1-83,"Shared address bus"
83,A5,A5P1-83,A7P1-83,"Shared address bus"
83,A5,A5P1-83,A10P1-83,"Shared address bus"
84,A6,A5P1-84,A6P1-84,"Shared address bus"
84,A6,A5P1-84,A7P1-84,"Shared address bus"
84,A6,A5P1-84,A10P1-84,"Shared address bus"
85,A7,A5P1-85,A6P1-85,"Shared address bus"
85,A7,A5P1-85,A10P1-85,"Shared address bus"
86,A8,A5P1-86,A6P1-86,"Shared address bus"
86,A8,A5P1-86,A10P1-86,"Shared address bus"
87,A9,A5P1-87,A6P1-87,"Shared address bus"
87,A9,A5P1-87,A7P1-87,"Shared address bus"
87,A9,A5P1-87,A8P1-87,"Shared address bus"
87,A9,A5P1-87,A10P1-87,"Shared address bus"
88,A10,A5P1-88,A6P1-88,"Shared address bus"
88,A10,A5P1-88,A7P1-88,"Shared address bus"
88,A10,A5P1-88,A8P1-88,"Shared address bus"
88,A10,A5P1-88,A10P1-88,"Shared address bus"
89,A11,A5P1-89,A6P1-89,"Shared address bus"
89,A11,A5P1-89,A7P1-89,"Shared address bus"
89,A11,A5P1-89,A8P1-89,"Shared address bus"
89,A11,A5P1-89,A10P1-89,"Shared address bus"
90,A12,A5P1-90,A6P1-90,"Shared address bus"
90,A12,A5P1-90,A7P1-90,"Shared address bus"
90,A12,A5P1-90,A8P1-90,"Shared address bus"
90,A12,A5P1-90,A10P1-90,"Shared address bus"
91,A13,A5P1-91,A6P1-91,"Shared address bus"
91,A13,A5P1-91,A7P1-91,"Shared address bus"
91,A13,A5P1-91,A8P1-91,"Shared address bus"
91,A13,A5P1-91,A10P1-91,"Shared address bus"
92,LDLYL,A7P1-92,A8P1-92,"Comparator/store control"
92,LDLYL,A7P1-92,A9P1-92,"Comparator/store control"
93,HDSBL,A7P1-93,A8P1-93,"Comparator/store control"
94,HTRG,A7P1-94,A8P1-94,"Comparator/store control"
95,HARM,A7P1-95,A8P1-95,"Comparator/store control"
96,LTPT,A8P1-96,A1U1-5,"Light pen / trace point path"
97,GND,A2P1,A5P1-97,"Power rail"
97,GND,A2P1,A6P1-97,"Power rail"
98,GND,A2P1,A5P1-98,"Power rail"
98,GND,A2P1,A6P1-98,"Power rail"
99,-12V,A2P1,A5P1-99,"Power rail"
99,-12V,A2P1,A6P1-99,"Power rail"
100,+12V,A2P1,A5P1-100,"Power rail"
100,+12V,A2P1,A6P1-100,"Power rail"
1,+5V,A2P1,A7P1-1,"XA7/XA8/XA9P1/XA10P1 interconnect list"
1,+5V,A2P1,A8P1-1,"XA7/XA8/XA9P1/XA10P1 interconnect list"
2,+5V,A2P1,A7P1-2,"XA7/XA8/XA9P1/XA10P1 interconnect list"
2,+5V,A2P1,A8P1-2,"XA7/XA8/XA9P1/XA10P1 interconnect list"
3,EXT0,A10P1-3,A7P1-3,"External input bus"
3,EXT0,A10P1-3,A8P1-3,"External input bus"
4,EXT1,A10P1-4,A7P1-4,"External input bus"
4,EXT1,A10P1-4,A8P1-4,"External input bus"
5,EXT2,A10P1-5,A7P1-5,"External input bus"
5,EXT2,A10P1-5,A8P1-5,"External input bus"
6,EXT3,A10P1-6,A7P1-6,"External input bus"
6,EXT3,A10P1-6,A8P1-6,"External input bus"
7,EXT4,A10P1-7,A7P1-7,"External input bus"
7,EXT4,A10P1-7,A8P1-7,"External input bus"
8,EXT5,A10P1-8,A7P1-8,"External input bus"
8,EXT5,A10P1-8,A8P1-8,"External input bus"
9,EXT6,A10P1-9,A7P1-9,"External input bus"
9,EXT6,A10P1-9,A8P1-9,"External input bus"
10,EXT7,A10P1-10,A7P1-10,"External input bus"
10,EXT7,A10P1-10,A8P1-10,"External input bus"
11,INP_D0,A9P1-11,A7P1-11,"Personality input bus"
11,INP_D0,A9P1-11,A8P1-11,"Personality input bus"
12,INP_D1,A9P1-12,A7P1-12,"Personality input bus"
12,INP_D1,A9P1-12,A8P1-12,"Personality input bus"
13,INP_D2,A9P1-13,A7P1-13,"Personality input bus"
13,INP_D2,A9P1-13,A8P1-13,"Personality input bus"
14,INP_D3,A9P1-14,A7P1-14,"Personality input bus"
14,INP_D3,A9P1-14,A8P1-14,"Personality input bus"
15,INP_D4,A9P1-15,A7P1-15,"Personality input bus"
15,INP_D4,A9P1-15,A8P1-15,"Personality input bus"
16,INP_D5,A9P1-16,A7P1-16,"Personality input bus"
16,INP_D5,A9P1-16,A8P1-16,"Personality input bus"
17,INP_D6,A9P1-17,A7P1-17,"Personality input bus"
17,INP_D6,A9P1-17,A8P1-17,"Personality input bus"
18,INP_D7,A9P1-18,A7P1-18,"Personality input bus"
18,INP_D7,A9P1-18,A8P1-18,"Personality input bus"
19,FLAG0,A9P1-19,A8P1-19,"Flag line"
20,FLAG1,A9P1-20,A8P1-20,"Flag line"
21,FLAG2,A9P1-21,A8P1-21,"Flag line"
22,FLAG3,A9P1-22,A8P1-22,"Flag line"
23,INP_A0,A9P1-23,A7P1-23,"Personality input address bus"
23,INP_A0,A9P1-23,A8P1-23,"Personality input address bus"
24,INP_A1,A9P1-24,A7P1-24,"Personality input address bus"
24,INP_A1,A9P1-24,A8P1-24,"Personality input address bus"
25,INP_A2,A9P1-25,A7P1-25,"Personality input address bus"
25,INP_A2,A9P1-25,A8P1-25,"Personality input address bus"
26,INP_A3,A9P1-26,A7P1-26,"Personality input address bus"
26,INP_A3,A9P1-26,A8P1-26,"Personality input address bus"
27,INP_A4,A9P1-27,A7P1-27,"Personality input address bus"
27,INP_A4,A9P1-27,A8P1-27,"Personality input address bus"
28,INP_A5,A9P1-28,A7P1-28,"Personality input address bus"
28,INP_A5,A9P1-28,A8P1-28,"Personality input address bus"
29,INP_A6,A9P1-29,A7P1-29,"Personality input address bus"
29,INP_A6,A9P1-29,A8P1-29,"Personality input address bus"
30,INP_A7,A9P1-30,A7P1-30,"Personality input address bus"
30,INP_A7,A9P1-30,A8P1-30,"Personality input address bus"
31,INP_A8,A9P1-31,A7P1-31,"Personality input address bus"
31,INP_A8,A9P1-31,A8P1-31,"Personality input address bus"
32,INP_A9,A9P1-32,A7P1-32,"Personality input address bus"
32,INP_A9,A9P1-32,A8P1-32,"Personality input address bus"
33,INP_A10,A9P1-33,A7P1-33,"Personality input address bus"
33,INP_A10,A9P1-33,A8P1-33,"Personality input address bus"
34,INP_A11,A9P1-34,A7P1-34,"Personality input address bus"
34,INP_A11,A9P1-34,A8P1-34,"Personality input address bus"
35,INP_A12,A9P1-35,A7P1-35,"Personality input address bus"
35,INP_A12,A9P1-35,A8P1-35,"Personality input address bus"
36,INP_A13,A9P1-36,A7P1-36,"Personality input address bus"
36,INP_A13,A9P1-36,A8P1-36,"Personality input address bus"
37,INP_A14,A9P1-37,A7P1-37,"Personality input address bus"
37,INP_A14,A9P1-37,A8P1-37,"Personality input address bus"
38,INP_A15,A9P1-38,A7P1-38,"Personality input address bus"
38,INP_A15,A9P1-38,A8P1-38,"Personality input address bus"
46,LDSTOR,A8P1-46,A9P1-46,"Store control"
47,PEXCK,A9P1-47,A10P1-47,"Clock/control cross-link"
48,PHLTEN,A8P1-48,A9P1-48,"Control cross-link"
49,NSTOR,A9P1-49,A8P1-49,"Control cross-link"
50,NCP,A9P1-50,A7P1-50,"Control cross-link"
58,1ms_CK,A5P1-58,A7P1-58,"Timing distribution"
58,1ms_CK,A5P1-58,A9P1-58,"Timing distribution"
59,2Hz_CK,A6P1-59,A9P1-59,"Timing distribution"
94,HVSY,A6P1-94,A3P1-A,"Display sync to XA3"
95,HHSY,A6P1-95,A3P1-L,"Display sync to XA3"
96,VIDEO,A6P1-96,A3P1-S,"Display video to XA3"
A1P1_1,KS_GND,A4W1-1,A5P1-9,"Keyboard connector view"
A1P1_1,KS_GND,A4W1-1,A5P1-10,"Keyboard connector view"
A1P1_2,KS1,A4W1-2,A5P1-4,"Keyboard connector view"
A1P1_3,KS3,A4W1-3,A5P1-6,"Keyboard connector view"
A1P1_4,KS7,A4W1-4,A5P1-8,"Keyboard connector view"
A1P1_5,KS_GND,A4W1-5,A5P1-9,"Keyboard connector view"
A1P1_5,KS_GND,A4W1-5,A5P1-10,"Keyboard connector view"
A1P1_6,+5V,A2P1,A4W1-6,"Keyboard connector supply"
A1P1_7,SCAN_A,A5P1-14,A4W1-7,"Keyboard connector view"
A1P1_8,SCAN_B,A5P1-15,A4W1-8,"Keyboard connector view"
A1P1_9,SCAN_C,A5P1-16,A4W1-9,"Keyboard connector view"
A1P1_10,SCAN_D,A5P1-13,A4W1-10,"Keyboard connector view"
A1P1_11,GND,A2P1,A4W1-11,"Keyboard connector ground"
A1P1_12,KS_GND,A4W1-12,A5P1-9,"Keyboard connector view"
A1P1_12,KS_GND,A4W1-12,A5P1-10,"Keyboard connector view"
A1P1_13,KS4,A4W1-13,A5P1-7,"Keyboard connector view"
A1P1_14,KS2,A4W1-14,A5P1-5,"Keyboard connector view"
A1P1_15,KS0,A4W1-15,A5P1-3,"Keyboard connector view"
A1P1_16,KS_GND,A4W1-16,A5P1-9,"Keyboard connector view"
A1P1_16,KS_GND,A4W1-16,A5P1-10,"Keyboard connector view"
A1P2_1,SW1,A11W1-1,A5P1-18,"Personality-panel switch connector"
A1P2_2,SW3,A11W1-2,A5P1-20,"Personality-panel switch connector"
A1P2_3,SW5,A11W1-3,A5P1-22,"Personality-panel switch connector"
A1P2_4,SW7,A11W1-4,A5P1-24,"Personality-panel switch connector"
A1P2_5,+5V,A2P1,A11W1-5,"Personality-panel switch connector"
A1P2_6,+5V,A2P1,A11W1-6,"Personality-panel switch connector"
A1P2_7,+5V,A2P1,A11W1-7,"Personality-panel switch connector"
A1P2_8,GND,A2P1,A11W1-8,"Personality-panel switch connector"
A1P2_9,GND,A2P1,A11W1-9,"Personality-panel switch connector"
A1P2_10,GND,A2P1,A11W1-10,"Personality-panel switch connector"
A1P2_11,SW6,A11W1-11,A5P1-23,"Personality-panel switch connector"
A1P2_12,SW4,A11W1-12,A5P1-21,"Personality-panel switch connector"
A1P2_13,SW2,A11W1-13,A5P1-19,"Personality-panel switch connector"
A1P2_14,SW0,A11W1-14,A5P1-17,"Personality-panel switch connector"
